t;x;y;frame;Feeder;Cooments
1,391391391E1;-2,665239716E1;9,612650514E0;4,170000000E2;OUT;
1,394728061E1;-2,665239716E1;9,612650514E0;4,180000000E2;OUT;
1,398064731E1;-2,665239716E1;9,676447759E0;4,190000000E2;OUT;
1,401401401E1;-2,665239716E1;9,676447759E0;4,200000000E2;OUT;
1,404738071E1;-2,665239716E1;9,676447759E0;4,210000000E2;OUT;
1,408074741E1;-2,665239716E1;9,676447759E0;4,220000000E2;OUT;
1,411411411E1;-2,665239716E1;9,676447759E0;4,230000000E2;OUT;
1,414748081E1;-2,665239716E1;9,676447759E0;4,240000000E2;OUT;
1,418084751E1;-2,665239716E1;9,676447759E0;4,250000000E2;OUT;
1,421421421E1;-2,665239716E1;9,676447759E0;4,260000000E2;OUT;
1,424758091E1;-2,665239716E1;9,676447759E0;4,270000000E2;OUT;
1,428094761E1;-2,665239716E1;9,676447759E0;4,280000000E2;OUT;
1,431431431E1;-2,665239716E1;9,676447759E0;4,290000000E2;OUT;
1,434768101E1;-2,665239716E1;9,676447759E0;4,300000000E2;OUT;
1,438104771E1;-2,665239716E1;9,676447759E0;4,310000000E2;OUT;
1,441441441E1;-2,665239716E1;9,676447759E0;4,320000000E2;OUT;
1,444778111E1;-2,665239716E1;9,676447759E0;4,330000000E2;OUT;
1,448114781E1;-2,665239716E1;9,676447759E0;4,340000000E2;OUT;
1,451451451E1;-2,665239716E1;9,676447759E0;4,350000000E2;OUT;
1,454788121E1;-2,665239716E1;9,676447759E0;4,360000000E2;OUT;
1,458124791E1;-2,665239716E1;9,676447759E0;4,370000000E2;OUT;
1,461461461E1;-2,665239716E1;9,676447759E0;4,380000000E2;OUT;
